country,rank,name,id,releaseDate,Primary_Genre,Artist
us,76,American Scandal,1435516849,2020-10-27,History,Wondery
us,77,Tim Pool Daily Show,1362265400,2021-03-02,Politics,Tim Pool
us,78,I Spy,1482310665,2021-02-23,Society & Culture,Foreign Policy
us,79,The Bible Recap,1440833267,2020-12-22,Christianity,D-Group
us,80,The Rachel Maddow Show,294055449,2020-11-03,Daily News,"Rachel Maddow, MSNBC"
us,81,Sway,1528594034,2020-10-26,Society & Culture,New York Times Opinion
us,82,Good Sex,1553344468,2021-03-02,Sexuality,Lemonada Media
us,83,Wait Wait... Don't Tell Me!,121493804,2020-10-24,Comedy,NPR
us,84,Get Sleepy: Sleep meditation and stories,1487513861,2020-10-28,Alternative Health,Get Sleepy
us,85,Nurture vs Nurture with Dr. Wendy Mogel,1549814799,2021-02-16,Kids & Family,Armchair Umbrella
us,86,TED Talks Daily,160904630,2020-10-27,Education,TED
us,87,The Jordan B. Peterson Podcast,1184022695,2020-11-01,Education,Dr. Jordan B. Peterson
us,88,UnF*ck Your Brain,1229434818,2021-02-04,Mental Health,Kara Loewentheil
us,89,Ten Percent Happier with Dan Harris,1087147821,2020-10-28,Mental Health,ABC News
us,90,Revisionist History,1119389968,2020-09-10,Society & Culture,Pushkin Industries
us,91,Short Wave,1482575855,2021-01-26,Life Sciences,NPR
us,92,Supernatural with Ashley Flowers,1500667648,2020-11-04,Society & Culture,Parcast Network
us,93,Radiolab,152249110,2020-10-23,Documentary,WNYC Studios
us,94,Zane and Heath: Unfiltered,1478746415,2021-02-08,Comedy Interviews,The Roost x Zane and Heath
us,95,Even the Rich,1500477470,2020-10-27,Society & Culture,Wondery
us,96,Adam Carolla Show,306390087,2020-10-28,Comedy,PodcastOne / Carolla Digital
us,97,BiggerPockets Real Estate Podcast,594419649,2020-10-25,Investing,BiggerPockets
us,98,Lex Fridman Podcast,1434243584,2020-10-30,Technology,Lex Fridman
us,99,Revolutions,703889772,2020-12-25,History,Mike Duncan
us,100,Throughline,1451109634,2020-10-22,History,NPR
us,101,Higher Learning with Van Lathan and Rachel Lindsay,1515152489,2021-02-12,Society & Culture,The Ringer
us,102,Jocko Podcast,1070322219,2020-10-28,Business,Jocko DEFCOR Network
